key,authors,first_author,year,title,venue,doi,pmid,verified,arc_section
Li2024b,"Li, Veronica L; Xiao, Shuke; Schlosser, Pascal; Scherer, Nora; Wiggenhorn, Amanda L; Spaas, Jan; Tung, Alan Sheng-Hwa; Karoly, Edward D; Köttgen, Anna; Long, Jonathan Z",Li,2024,SLC17 transporters mediate renal excretion of Lac-Phe in mice and humans.,bioRxiv,10.1101/2024.04.18.589815,38659895,YES,v
Liu2025,"Liu, Hailan; Li, Veronica L; Liu, Qingzhuo; Liu, Yao; Su, Cunjin; Wong, Hueyxian; Yin, Na; Liu, Hesong; Fang, Xing; McDermott, Kristine M; Wong, Hueyzhong; Yu, Meng; Tu, Longlong; Bean, Jonathan C; Li, Yongxiang; Wang, Mengjie; Deng, Yue; Shi, Yuhan; Ginnard, Olivia Z; Yang, Yuxue; Han, Junying; Burt, Megan E; Jossy, Sanika V; Wang, Chunmei; Yang, Yongjie; Arenkiel, Benjamin R; Kong, Dong; He, Yang; Long, Jonathan Z; Xu, Yong",Liu,2025,Lac-Phe induces hypophagia by inhibiting AgRP neurons in mice.,Nature Metabolism,10.1038/s42255-025-01377-9,40957996,YES,v
Lund2022,"Lund, Jens; Clemmensen, Christoffer; Schwartz, Thue W.",Lund,2022,Outrunning obesity with Lac-Phe?,Cell Metabolism,10.1016/j.cmet.2022.07.007,,YES,i
Miao2025,"Miao, Rui; Liu, Chunyan; Wang, Yilong; Li, Hui; Han, Cuihong; Wang, Chenchen; Tian, Zhizhen; Liu, Jiao",Miao,2025,Exercise-induced lactate suppresses ccRCC via CNDP2-mediated depletion of intracellular amino acids.,Cell Death Discovery,10.1038/s41420-025-02609-3,40739140,YES,v
MoyaGarzon2024,"Moya-Garzon, Maria Dolores; Wang, Mengjie; Li, Veronica L; Lyu, Xuchao; Wei, Wei; Tung, Alan Sheng-Hwa; Raun, Steffen H; Zhao, Meng; Coassolo, Laetitia; Islam, Hashim; Oliveira, Barbara; Dai, Yuqin; Spaas, Jan; Delgado-Gonzalez, Antonio; Donoso, Kenyi; Alvarez-Buylla, Aurora; Franco-Montalban, Francisco; Letian, Anudari; Ward, Catherine P; Liu, Lichao; Svensson, Katrin J; Goldberg, Emily L; Gardner, Christopher D; Little, Jonathan P; Banik, Steven M; Xu, Yong; Long, Jonathan Z",Moya-Garzon,2024,A β-hydroxybutyrate shunt pathway generates anti-obesity ketone metabolites.,Cell,10.1016/j.cell.2024.10.032,39536746,YES,ii
Oku2012,"Oku, Takahiro; Ando, Seiichi; Tsai, Hsin-Chun; Yamashita, Yusuke; Ueno, Hiroshi; Shiozaki, Kazuhiro; Nishi, Ryuichiro; Yamada, Shoji",Oku,2012,"Purification and identification of two carnosine-cleaving enzymes, carnosine dipeptidase I and Xaa-methyl-His dipeptidase, from Japanese eel (Anguilla japonica)",Biochimie,10.1016/j.biochi.2012.02.016,,YES,ii
Okumura2017,"Okumura, Nobuaki; Takao, Toshifumi",Okumura,2017,The zinc form of carnosine dipeptidase 2 (CN2) has dipeptidase activity but its substrate specificity is different from that of the manganese form,Biochemical and Biophysical Research Communications,10.1016/j.bbrc.2017.10.100,,YES,ii
Oni2025,"Oni, Olaiya Peter; Scott, Barry; Schwartz, Lily C; MacCormack, Tyson J; Hankir, Mohammed; Rourke, Jillian L",Oni,2025,Beyond exercise and appetite: The expanding biology and therapeutic potential of N-lactoyl-phenylalanine.,The Journal of Pharmacology and Experimental Therapeutics,10.1016/j.jpet.2025.103798,41547294,YES,v
Otani2008,"Otani, Hiroto; Okumura, Akiko; Nagai, Katsuya; Okumura, Nobuaki",Otani,2008,"Colocalization of a carnosine-splitting enzyme, tissue carnosinase (CN2)/cytosolic non-specific dipeptidase 2 (CNDP2), with histidine decarboxylase in the tuberomammillary nucleus of the hypothalamus",Neuroscience Letters,10.1016/j.neulet.2008.09.008,,YES,ii
RizoRoca2025,"Rizo-Roca, David; Henderson, John D; Zierath, Juleen R",Rizo-Roca,2025,Metabolomics in cardiometabolic diseases: Key biomarkers and therapeutic implications for insulin resistance and diabetes.,Journal of Internal Medicine,10.1111/joim.20090,40289598,YES,vi
Rogers2024,"Rogers, Robert S; Sharma, Rohit; Shah, Hardik B; Skinner, Owen S; Guo, Xiaoyan A; Panda, Apekshya; Gupta, Rahul; Durham, Timothy J; Shaughnessy, Kelsey B; Mayers, Jared R; Hibbert, Kathryn A; Baron, Rebecca M; Thompson, B Taylor; Mootha, Vamsi K",Rogers,2024,Circulating N-lactoyl-amino acids and N-formyl-methionine reflect mitochondrial dysfunction and predict mortality in septic shock.,Metabolomics,10.1007/s11306-024-02089-z,38446263,YES,iv
Schenk2024,"Schenk, Simon; Sagendorf, Tyler J; Many, Gina M; Lira, Ana K; de Sousa, Luis G O; Bae, Dam; Cicha, Michael; Kramer, Kyle S; Muehlbauer, Michael; Hevener, Andrea L; Rector, R Scott; Thyfault, John P; Williams, John P; Goodyear, Laurie J; Esser, Karyn A; Newgard, Christopher B; Bodine, Sue C",Schenk,2024,Physiological Adaptations to Progressive Endurance Exercise Training in Adult and Aged Rats: Insights from the Molecular Transducers of Physical Activity Consortium (MoTrPAC).,Function,10.1093/function/zqae014,38984994,YES,iii
Schumacher2025,"Schumacher, Michael A",Schumacher,2025,From Muscle to Macrophage: An Anti-inflammatory Role for the Metabolite N-lactoyl-phenylalanine in Inflammatory Bowel Disease.,Cellular and Molecular Gastroenterology and Hepatology,10.1016/j.jcmgh.2025.101643,40992735,YES,vi
Scott2024,"Scott, Barry; Day, Emily A; O'Brien, Katie L; Scanlan, John; Cromwell, Grace; Scannail, Aine Ni; McDonnell, Marie E; Finlay, David K; Lynch, Lydia",Scott,2024,Metformin and feeding increase levels of the appetite-suppressing metabolite Lac-Phe in humans.,Nature Metabolism,10.1038/s42255-024-01018-7,38499765,YES,iv
Sebo2026,"Sebo, Zachary L; Chakrabarty, Ram P; Grant, Rogan A; D'Alessandro, Karis B; Koss, Alec R; Blum, Jenna L E; Davidson, Shawn M; Reczek, Colleen R; Chandel, Navdeep S",Sebo,2026,Metformin inhibits mitochondrial complex I in intestinal epithelium to promote glycaemic control.,Nature Metabolism,10.1038/s42255-026-01530-y,42103929,YES,vi
Sellami2024,"Sellami, Maha; Naja, Khaled; Almuraikhy, Shamma; Anwardeen, Najeha; Sultanov, Rinat I; Generozov, Eduard V; Ahmetov, Ildus I; Elrayess, Mohamed A",Sellami,2024,N-Lactoyl amino acids as metabolic biomarkers differentiating low and high exercise response.,Biology of Sport,10.5114/biolsport.2025.145912,40182705,YES,iv
Starling2024,"Starling, Shimona",Starling,2024,Metformin acts through appetite-suppressing metabolite: Lac-Phe,Nature Reviews Endocrinology,10.1038/s41574-024-00986-w,,YES,iv
TeSlaa2024,"TeSlaa, Tara",TeSlaa,2024,Metformin induces a Lac-Phe gut–brain signalling axis,Nature Metabolism,10.1038/s42255-024-01014-x,,YES,iv
Wang2026,"Wang, Ning; Zhang, Jingxing; Zhang, Xinping; Xuan, Dajun",Wang,2026,Lac-Phe: An Emerging Appetite-Regulating Exerkine with Health and Therapeutic Benefits,Current Obesity Reports,10.1007/s13679-025-00683-3,,YES,vi
Weber2025,"Weber, Dirk; Ferrario, Paola G; Bub, Achim",Weber,2025,Exercise intensity determines circulating levels of Lac-Phe and other exerkines: a randomized crossover trial.,Metabolomics,10.1007/s11306-025-02260-0,40335829,YES,iv
Wu2025,"Wu, Baile; Tang, Chunxue; Ren, Zhongxun; Qian, Jiayu; Deng, Yuxiao; Fan, Zihan; Zhang, YanYan; Shi, Lijun",Wu,2025,Sexual dimorphism in the serum metabolome following acute exhaustive exercise.,Biology of Sex Differences,10.1186/s13293-025-00780-x,41199406,YES,iv
Xiao2024a,"Xiao, Shuke; Li, Veronica L; Lyu, Xuchao; Chen, Xudong; Wei, Wei; Abbasi, Fahim; Knowles, Joshua W; Tung, Alan Sheng-Hwa; Deng, Shuliang; Tiwari, Gaurav; Shi, Xu; Zheng, Shuning; Farrell, Laurie; Chen, Zsu-Zsu; Taylor, Kent D; Guo, Xiuqing; Goodarzi, Mark O; Wood, Alexis C; Chen, Yii-Der Ida; Lange, Leslie A; Rich, Stephen S; Rotter, Jerome I; Clish, Clary B; Tahir, Usman A; Gerszten, Robert E; Benson, Mark D; Long, Jonathan Z",Xiao,2024,Lac-Phe mediates the effects of metformin on food intake and body weight.,Nature Metabolism,10.1038/s42255-024-00999-9,38499766,YES,iv
Xiao2024b,"Xiao, Shuke; Li, Veronica L; Long, Jonathan Z",Xiao,2024,Lac-Phe (N-lactoyl-phenylalanine).,Trends in Endocrinology & Metabolism,10.1016/j.tem.2024.05.007,39137723,YES,vi
Yao2025,"Yao, Taikang; Wen, Guolin Alexander; Wu, Zhenchao; Shen, Ning",Yao,2025,Lac-Phe: a central metabolic regulator and biomarker.,Medical Review,10.1515/mr-2025-0030,41158288,YES,v
Yu2025,"Yu, Runfeng; Zhang, Chi; Yuan, Ming; Ye, Shubiao; Hu, Tuo; Chen, Shaopeng; Liang, Guanzhan; Liu, Jiaqi; Ke, Haoxian; Huang, Junfeng; Lan, Ping; He, Xiaosheng; Wu, Xianrui",Yu,2025,Exercise-induced Metabolite N-lactoyl-phenylalanine Ameliorates Colitis by Inhibiting M1 Macrophage Polarization via the Suppression of the NF-κB Signaling Pathway.,Cellular and Molecular Gastroenterology and Hepatology,10.1016/j.jcmgh.2025.101558,40562095,YES,vi
